filename,slip_number,date,company,is_return,items_count,quantity_sum,subtotal,notes
0217インス・佐藤21枚_Part12.pdf,S260206-12,2026/02/17,(株)インス,FALSE,28,180,1622100,SUMMER TCH THINGS PT + SPACE CK OVER-PT 単価7680/10500
0217インス・佐藤21枚_Part13.pdf,S260206-13,2026/02/17,(株)インス,FALSE,16,218,1515100,SUMMER TCH TWILL PT 4色×4サイズ 単価6950
0217インス・佐藤21枚_Part14.pdf,S260206-14,2026/02/17,(株)インス,FALSE,16,160,868800,SUPPLEX BRISK SHORTS 4色×4サイズ 単価5430
0217インス・佐藤21枚_Part15.pdf,S260206-15,2026/02/17,(株)インス,FALSE,16,24,134400,D/D NYLON EASY S/PT (中国分) 4色×4サイズ 単価5600 各サイズ少量
0217インス・佐藤21枚_Part16.pdf,S260206-16,2026/02/17,(株)インス,FALSE,16,100,560000,D/D NYLON EASY S/PT 4色×4サイズ 単価5600
0217インス・佐藤21枚_Part17.pdf,S260206-17,2026/02/17,(株)インス,FALSE,23,216,1123200,D/D NYLON BRISK SHIRT 6色 単価5200
0217インス・佐藤21枚_Part18.pdf,S260206-18,2026/02/17,(株)インス,FALSE,18,353,1941500,D/D NYLON OVER PT 4色×4サイズ + I/BLACK S 51枚 + A/BLUE S 108枚 単価5500
0217インス・佐藤21枚_Part19.pdf,S260206-19,2026/02/17,(株)インス,FALSE,22,34,187000,D/D NYLON CARGOS-PANTS(中国分) + OVER PT(中国分) 単価5500
0217インス・佐藤21枚_Part20.pdf,S260206-20,2026/02/17,(株)インス,FALSE,28,242,1336400,D/D NYLON CARGO PANTS(中国分) + CARGOS-PANTS 4色 単価5950/5500
0217インス・佐藤21枚_Part21.pdf,S260206-21,2026/02/17,(株)インス,FALSE,24,911,4878000,D/D NYLON CAGO SHORTS + CARGO PANTS 大型伝票 単価5000/5950 / WT26323AD-BS単価5000円が正(月次請求書手打ち5100円は入力ミス)
